Command,Mode,Script,Application,Repository,Title
select to matching paren,NULL,"key(""ctrl-shift-alt-e"")",RStudio,community,NULL
jump to matching,NULL,"key(""ctrl-p"")",RStudio,community,NULL
expand selection,NULL,"key(""shift-alt-cmd-up"")",RStudio,community,NULL
reduce selection,NULL,"key(""shift-alt-cmd-down"")",RStudio,community,NULL
add cursor up,NULL,"key(""ctrl-alt-up"")",RStudio,community,NULL
add cursor down,NULL,"key(""ctrl-alt-down"")",RStudio,community,NULL
move active cursor up,NULL,"key(""ctrl-alt-shift-up"")",RStudio,community,NULL
move active cursor down,NULL,"key(""ctrl-alt-shift-down"")",RStudio,community,NULL
delete line,NULL,"key(""cmd-d"")",RStudio,community,NULL
delete word left,NULL,"key(""alt-backspace"")",RStudio,community,NULL
delete word right,NULL,"key(""alt-delete"")",RStudio,community,NULL
assign that,NULL,"key(""alt--"")",RStudio,community,NULL
pipe that,NULL,"key(""cmd-shift-m"")",RStudio,community,NULL
insert knitter chunk,NULL,"key(""cmd-alt-i"")",RStudio,community,NULL
fold that,NULL,"key(""cmd-alt-l"")",RStudio,community,NULL
unfold that,NULL,"key(""cmd-shift-alt-l"")",RStudio,community,NULL
fold all,NULL,"key(""cmd-alt-o"")",RStudio,community,NULL
unfold all,NULL,"key(""cmd-shift-alt-o"")",RStudio,community,NULL
find and replace,NULL,"key(""cmd-f"")",RStudio,community,NULL
find next,NULL,"key(""cmd-g"")",RStudio,community,NULL
find previous,NULL,"key(""cmd-shift-g"")",RStudio,community,NULL
find with selection,NULL,"key(""cmd-e"")",RStudio,community,NULL
find in files,NULL,"key(""cmd-shift-f"")",RStudio,community,NULL
run replace,NULL,"key(""cmd-shift-j"")",RStudio,community,NULL
run spell check,NULL,"key(""f7"")",RStudio,community,NULL
go to source,NULL,"key(""ctrl-1"")",RStudio,community,NULL
go to console,NULL,"key(""ctrl-2"")",RStudio,community,NULL
go to help,NULL,"key(""ctrl-3"")",RStudio,community,NULL
go to history,NULL,"key(""ctrl-4"")",RStudio,community,NULL
go to files,NULL,"key(""ctrl-5"")",RStudio,community,NULL
go to (plots | plot),NULL,"key(""ctrl-6"")",RStudio,community,NULL
go to packages,NULL,"key(""ctrl-7"")",RStudio,community,NULL
go to environment,NULL,"key(""ctrl-8"")",RStudio,community,NULL
go to git,NULL,"key(""ctrl-9"")",RStudio,community,NULL
go to build,NULL,"key(""ctrl-0"")",RStudio,community,NULL
go to terminal,NULL,"key(""alt-shift-t"")",RStudio,community,NULL
go to omni,NULL,"key(""ctrl-."")",RStudio,community,NULL
go to line,NULL,"key(""cmd-shift-alt-g"")",RStudio,community,NULL
go to section,NULL,"key(""cmd-shift-alt-j"")",RStudio,community,NULL
go to tab,NULL,"key(""ctrl-shift-."")",RStudio,community,NULL
go to previous tab,NULL,"key(""ctrl-f11"")",RStudio,community,NULL
go to next tab,NULL,"key(""ctrl-f12"")",RStudio,community,NULL
go to first tab,NULL,"key(""ctrl-shift-f11"")",RStudio,community,NULL
go to last tab,NULL,"key(""ctrl-shift-f12"")",RStudio,community,NULL
zoom source,NULL,"key(""ctrl-shift-1"")",RStudio,community,NULL
(zoom | show) all,NULL,"key(""ctrl-shift-0"")",RStudio,community,NULL
help that,NULL,"key(""f1"")",RStudio,community,NULL
define that,NULL,"key(""f2"")",RStudio,community,NULL
previous plot,NULL,"key(""cmd-alt-f11"")",RStudio,community,NULL
next plot,NULL,"key(""cmd-alt-f12"")",RStudio,community,NULL
restart R session,NULL,"key(""cmd-shift-f10"")",RStudio,community,NULL
dev tools build,NULL,"key(""cmd-shift-b"")",RStudio,community,NULL
dev tools load all,NULL,"key(""cmd-shift-l"")",RStudio,community,NULL
dev tools test,NULL,"key(""cmd-shift-t"")",RStudio,community,NULL
dev tools check,NULL,"key(""cmd-shift-e"")",RStudio,community,NULL
dev tools document,NULL,"key(""cmd-shift-d"")",RStudio,community,NULL
toggle breakpoint,NULL,"key(""shift-f9"")",RStudio,community,NULL
debug next,NULL,"key(""f10"")",RStudio,community,NULL
debug step into (function | funk),NULL,"key(""shift-f4"")",RStudio,community,NULL
debug finish (function | funk),NULL,"key(""shift-f6"")",RStudio,community,NULL
debug continue,NULL,"key(""shift-f5"")",RStudio,community,NULL
debug stop,NULL,"key(""shift-f8"")",RStudio,community,NULL
run git diff,NULL,"key(""ctrl-alt-d"")",RStudio,community,NULL
run git commit,NULL,"key(""ctrl-alt-m"")",RStudio,community,NULL
show shortcuts,NULL,"key(""ctrl-/"")",signal,community,NULL
(next | nav | navigate) [by] (sec | section),NULL,"key(""ctrl-t"")",signal,community,NULL
(prev | previous) (chat | conversation),NULL,"key(""alt-down"")",signal,community,NULL
next (chat | conversation),NULL,"key(""alt-up"")",signal,community,NULL
(prev | previous) unread,NULL,"key(""alt-shift-down"")",signal,community,NULL
next unread,NULL,"key(""alt-shift-up"")",signal,community,NULL
[open] (pref | preferences),NULL,"key(""ctrl-,"")",signal,community,NULL
open conversation menu,NULL,"key(""ctrl-shift-l"")",signal,community,NULL
search,NULL,"key(""ctrl-f"")",signal,community,NULL
search chat,NULL,"key(""ctrl-shift-f"")",signal,community,NULL
focus (chat | composer),NULL,"key(""ctrl-shift-t"")",signal,community,NULL
open media,NULL,"key(""ctrl-shift-m"")",signal,community,NULL
open emoji,NULL,"key(""ctrl-shift-j"")",signal,community,NULL
open sticker,NULL,"key(""ctrl-shift-s"")",signal,community,NULL
record [voice] message,NULL,"key(""ctrl-shift-v"")",signal,community,NULL
archive chat,NULL,"key(""ctrl-shift-a"")",signal,community,NULL
unarchive chat,NULL,"key(""ctrl-shift-u"")",signal,community,NULL
(first | top) message,NULL,"key(""ctrl-up"")",signal,community,NULL
(last | bottom) message,NULL,"key(""ctrl-down"")",signal,community,NULL
close chat,NULL,"key(""ctrl-shift-c"")",signal,community,NULL
send it,NULL,"key(""enter"")",signal,community,NULL
message details,NULL,"key(""ctrl-d"")",signal,community,NULL
reply [message],NULL,"key(""ctrl-shift-r"")",signal,community,NULL
react [message],NULL,"key(""ctrl-shift-e"")",signal,community,NULL
save attachment,NULL,"key(""ctrl-s"")",signal,community,NULL
delete [message],NULL,"key(""ctrl-shift-d"")",signal,community,NULL
send message,NULL,"key(""ctrl-enter"")",signal,community,NULL
expand chat,NULL,"key(""ctrl-shift-x"")",signal,community,NULL
attach [file],NULL,"key(""ctrl-u"")",signal,community,NULL
remove [link] preview,NULL,"key(""ctrl-p"")",signal,community,NULL
remove [link] attachment,NULL,"key(""ctrl-shift-p"")",signal,community,NULL
workspace <number>,NULL,user.slack_open_workspace(number),slack,community,NULL
(slack | lack) [channel] info,NULL,user.slack_show_channel_info(),slack,community,NULL
focus (move | next),NULL,key(ctrl-`),slack,community,NULL
(section | zone) [next],NULL,user.slack_section_next(),slack,community,NULL
(section | zone) (previous | last),NULL,user.slack_section_previous(),slack,community,NULL
(slack | lack) (starred [items] | stars),NULL,user.slack_open_starred_items(),slack,community,NULL
(slack | lack) [direct] messages,NULL,user.slack_open_direct_messages(),slack,community,NULL
(slack | lack) threads,NULL,user.slack_open_threads(),slack,community,NULL
(slack | lack) (history [next] | back | backward),NULL,user.slack_go_back(),slack,community,NULL
(slack | lack) forward,NULL,user.slack_go_forward(),slack,community,NULL
grab left,NULL,key(shift-up),slack,community,NULL
grab right,NULL,key(shift-down),slack,community,NULL
add line,NULL,key(shift-enter),slack,community,NULL
(slack | lack) (slap | slaw | slapper),NULL,edit.line_insert_down(),slack,community,NULL
(element | bit) [next],NULL,key(tab),slack,community,NULL
(element | bit) (previous | last),NULL,key(shift-tab),slack,community,NULL
(slack | lack) (my stuff | activity),NULL,user.slack_open_activity(),slack,community,NULL
(slack | lack) directory,NULL,user.slack_open_directory(),slack,community,NULL
(slack | lack) unread [messages],NULL,user.slack_open_unread_messages(),slack,community,NULL
(go | undo | toggle) full,NULL,user.slack_toggle_full_screen(),slack,community,NULL
(slack | lack) (react | reaction),NULL,user.slack_add_reaction(),slack,community,NULL
(insert command | commandify),NULL,user.slack_insert_command(),slack,community,NULL
insert link,NULL,user.slack_insert_link(),slack,community,NULL
insert code,NULL,user.slack_insert_code(),slack,community,NULL
(slack | lack) (bull | bullet | bulleted) [list],NULL,user.slack_start_bulleted_list(),slack,community,NULL
(slack | lack) (number | numbered) [list],NULL,user.slack_start_numbered_list(),slack,community,NULL
(slack | lack) (quotes | quotation),NULL,user.slack_insert_quotation(),slack,community,NULL
bold,NULL,user.slack_toggle_bold(),slack,community,NULL
(italic | italicize),NULL,user.slack_toggle_italic(),slack,community,NULL
(strike | strikethrough),NULL,user.slack_toggle_strikethrough(),slack,community,NULL
(slack | lack) snippet,NULL,user.slack_create_snippet(),slack,community,NULL
(slack | lack) huddle,NULL,user.slack_huddle(),slack,community,NULL
([toggle] mute | unmute),NULL,key(m),slack,community,NULL
(slack | lack) ([toggle] video),NULL,key(v),slack,community,NULL
(slack | lack) invite,NULL,key(a),slack,community,NULL
emote <user.text>,NULL,""":{text}:""",slack,community,NULL
(slack | lack) shortcuts,NULL,user.slack_open_keyboard_shortcuts(),slack,community,NULL
toggle left sidebar,NULL,user.slack_toggle_left_sidebar(),slack,community,NULL
toggle right sidebar,NULL,user.slack_toggle_right_sidebar(),slack,community,NULL
(move | next) focus,NULL,"
app.notify(""please use the voice command 'focus next' instead of 'next focus'"")
key(ctrl-`)",slack,community,NULL
[next] (section | zone),NULL,"
app.notify(""please use the voice command 'section next' instead of 'next section'"")
key(f6)",slack,community,NULL
(previous | last) (section | zone),NULL,"
app.notify(""please use the voice command 'section last' instead of 'last section'"")
key(shift-f6)",slack,community,NULL
[next] (element | bit),NULL,"
app.notify(""please use the voice command 'element next' instead of 'next element'"")
key(tab)",slack,community,NULL
(previous | last) (element | bit),NULL,"
app.notify(""please use the voice command 'element last' instead of 'last element'"")
key(shift-tab)",slack,community,NULL
do this,NULL,key(ctrl-d),stata,community,NULL
do line,NULL,"
edit.select_line()
key(ctrl-d)",stata,community,NULL
do (all | file),NULL,"
edit.select_all()
edit.copy()
key(ctrl-d)",stata,community,NULL
do way up,NULL,"
edit.extend_file_start()
edit.copy()
key(ctrl-d)",stata,community,NULL
do way down,NULL,"
edit.extend_file_end()
edit.copy()
key(ctrl-d)",stata,community,NULL
task version,NULL,"""task --version\n""",global,community,NULL
task commands,NULL,"""task commands\n""",global,community,NULL
task help,NULL,"""task help\n""",global,community,NULL
task list,NULL,"""task list\n""",global,community,NULL
task list orphans,NULL,"""task project: list\n""",global,community,NULL
task list untagged,NULL,"""task tags.none: list\n""",global,community,NULL
task list <user.text>,NULL,"""task list {text}\n""",global,community,NULL
task list project,NULL,"""task list project: """,global,community,NULL
task list project <user.text>,NULL,"""task list project:{text}\n""",global,community,NULL
task add,NULL,"""task add """,global,community,NULL
task add <user.text>,NULL,"""task add {text}\n""",global,community,NULL
task undo,NULL,"""task undo\n""",global,community,NULL
(tasks | task next),NULL,"""task next\n""",global,community,NULL
task <number> edit$,NULL,"""task {number} edit""",global,community,NULL
task <number> done$,NULL,"""task {number} done""",global,community,NULL
task <number> delete$,NULL,"""task {number} delete""",global,community,NULL
show shortcuts,NULL,key(ctrl-.),microsoft_teams,community,NULL
[go] [to] search,NULL,key(ctrl-e),microsoft_teams,community,NULL
show commands,NULL,key(ctrl-/),microsoft_teams,community,NULL
open filter,NULL,key(ctrl-shift-f),microsoft_teams,community,NULL
go to,NULL,key(ctrl-g),microsoft_teams,community,NULL
open (apps | applications),NULL,key(ctrl-`),microsoft_teams,community,NULL
[start] new chat,NULL,key(ctrl-n),microsoft_teams,community,NULL
open settings,NULL,"key(ctrl-,)",microsoft_teams,community,NULL
open help,NULL,key(f1),microsoft_teams,community,NULL
close,NULL,key(escape),microsoft_teams,community,NULL
open activity,NULL,key(ctrl-1),microsoft_teams,community,NULL
open chat,NULL,key(ctrl-2),microsoft_teams,community,NULL
open teams,NULL,key(ctrl-3),microsoft_teams,community,NULL
open calendar,NULL,key(ctrl-4),microsoft_teams,community,NULL
open planner,NULL,key(ctrl-5),microsoft_teams,community,NULL
open calls,NULL,key(ctrl-6),microsoft_teams,community,NULL
open files,NULL,key(ctrl-7),microsoft_teams,community,NULL
[go] [to] (prev | previous) [list] item,NULL,key(alt-up),microsoft_teams,community,NULL
[go] [to] next [list] item,NULL,key(alt-down),microsoft_teams,community,NULL
move [selected] team up,NULL,key(ctrl-shift-up),microsoft_teams,community,NULL
move [selected] team down,NULL,key(ctrl-shift-down),microsoft_teams,community,NULL
[go] [to] (prev | previous) section,NULL,key(ctrl-shift-f6),microsoft_teams,community,NULL
[go] [to] next section,NULL,key(ctrl-f6),microsoft_teams,community,NULL
[go] [to] compose [box],NULL,key(c),microsoft_teams,community,NULL
[expand] compose [box],NULL,key(ctrl-shift-x),microsoft_teams,community,NULL
send,NULL,key(ctrl-enter),microsoft_teams,community,NULL
attach file,NULL,key(ctrl-o),microsoft_teams,community,NULL
[start] new line,NULL,key(shift-enter),microsoft_teams,community,NULL
reply [to] [thread],NULL,key(r),microsoft_teams,community,NULL
accept video call,NULL,key(ctrl-shift-a),microsoft_teams,community,NULL
accept audio call,NULL,key(ctrl-shift-s),microsoft_teams,community,NULL
decline call,NULL,key(ctrl-shift-d),microsoft_teams,community,NULL
start audio call,NULL,key(ctrl-shift-c),microsoft_teams,community,NULL
start video call,NULL,key(ctrl-shift-u),microsoft_teams,community,NULL
toggle mute,NULL,key(ctrl-shift-m),microsoft_teams,community,NULL
starch screen share session,NULL,key(ctrl-shift-e),microsoft_teams,community,NULL
toggle video,NULL,key(ctrl-shift-o),microsoft_teams,community,NULL
[go] [to] sharing toolbar,NULL,key(ctrl-shift-space),microsoft_teams,community,NULL
decline screen share,NULL,key(ctrl-shift-d),microsoft_teams,community,NULL
accept screen share,NULL,key(ctrl-shift-a),microsoft_teams,community,NULL
schedule [a] meeting,NULL,key(alt-shift-n),microsoft_teams,community,NULL
go to current time,NULL,key(alt-.),microsoft_teams,community,NULL
go to (prev | previous) (day | week),NULL,key(ctrl-alt-left),microsoft_teams,community,NULL
go to next (day | week),NULL,key(ctrl-alt-right),microsoft_teams,community,NULL
view day,NULL,key(ctrl-alt-1),microsoft_teams,community,NULL
view work week,NULL,key(ctrl-alt-2),microsoft_teams,community,NULL
view week,NULL,key(ctrl-alt-3),microsoft_teams,community,NULL
(safe | send) meeting request,NULL,key(ctrl-s),microsoft_teams,community,NULL
join [from] meeting [details],NULL,key(alt-shift-j),microsoft_teams,community,NULL
go to suggested time,NULL,key(alt-shift-s),microsoft_teams,community,NULL
open history,NULL,key(super-shift-h),com.microsoft.teams,community,NULL
view shortcuts,NULL,key(super-.),com.microsoft.teams,community,NULL
show shortcuts,NULL,key(super-.),com.microsoft.teams,community,NULL
[go] [to] search,NULL,key(super-e),com.microsoft.teams,community,NULL
show commands,NULL,key(super-/),com.microsoft.teams,community,NULL
open filter,NULL,key(super-shift-f),com.microsoft.teams,community,NULL
go to,NULL,key(super-g),com.microsoft.teams,community,NULL
open (apps | applications),NULL,key(ctrl-`),com.microsoft.teams,community,NULL
[start] new chat,NULL,key(super-n),com.microsoft.teams,community,NULL
open settings,NULL,"key(super-,)",com.microsoft.teams,community,NULL
open help,NULL,key(f1),com.microsoft.teams,community,NULL
close,NULL,key(escape),com.microsoft.teams,community,NULL
reset,NULL,"
key(escape)
key(escape)
key(escape)
key(escape)",com.microsoft.teams,community,NULL
zoom reset,NULL,key(super-0),com.microsoft.teams,community,NULL
open (act | activity),NULL,key(super-1),com.microsoft.teams,community,NULL
open chat,NULL,key(super-2),com.microsoft.teams,community,NULL
open teams,NULL,key(super-3),com.microsoft.teams,community,NULL
open calendar,NULL,key(super-4),com.microsoft.teams,community,NULL
open calls,NULL,key(super-5),com.microsoft.teams,community,NULL
open files,NULL,key(super-6),com.microsoft.teams,community,NULL
[go] [to] (prev | previous) [list] item,NULL,key(alt-up),com.microsoft.teams,community,NULL
[go] [to] next [list] item,NULL,key(alt-down),com.microsoft.teams,community,NULL
move [selected] team up,NULL,key(super-shift-up),com.microsoft.teams,community,NULL
move [selected] team down,NULL,key(super-shift-down),com.microsoft.teams,community,NULL
[go] [to] (prev | previous) section,NULL,key(super-shift-f6),com.microsoft.teams,community,NULL
[go] [to] next section,NULL,key(super-f6),com.microsoft.teams,community,NULL
[go] [to] compose [box],NULL,key(shift-alt-c),com.microsoft.teams,community,NULL
[expand] compose [box],NULL,key(super-shift-x),com.microsoft.teams,community,NULL
send message,NULL,key(super-enter),com.microsoft.teams,community,NULL
attach file,NULL,key(shift-alt-o),com.microsoft.teams,community,NULL
attach local file,NULL,"
key(shift-alt-o)
sleep(100ms)
key(down)
key(space)",com.microsoft.teams,community,NULL
[start] new line,NULL,key(shift-enter),com.microsoft.teams,community,NULL
reply [to] [thread],NULL,key(shift-alt-r),com.microsoft.teams,community,NULL
accept video call,NULL,key(super-shift-a),com.microsoft.teams,community,NULL
accept audio call,NULL,key(super-shift-s),com.microsoft.teams,community,NULL
decline call,NULL,key(super-shift-d),com.microsoft.teams,community,NULL
start audio call,NULL,key(super-shift-c),com.microsoft.teams,community,NULL
start video call,NULL,key(super-shift-u),com.microsoft.teams,community,NULL
toggle mute,NULL,key(super-shift-m),com.microsoft.teams,community,NULL
starch screen share session,NULL,key(super-shift-e),com.microsoft.teams,community,NULL
toggle video,NULL,key(super-shift-o),com.microsoft.teams,community,NULL
[go] [to] sharing toolbar,NULL,key(super-shift-space),com.microsoft.teams,community,NULL
decline screen share,NULL,key(super-shift-d),com.microsoft.teams,community,NULL
accept screen share,NULL,key(super-shift-a),com.microsoft.teams,community,NULL
schedule [a] meeting,NULL,key(alt-shift-n),com.microsoft.teams,community,NULL
go to current time,NULL,key(alt-.),com.microsoft.teams,community,NULL
go to (prev | previous) (day | week),NULL,key(super-alt-left),com.microsoft.teams,community,NULL
go to next (day | week),NULL,key(super-alt-right),com.microsoft.teams,community,NULL
view day,NULL,key(super-alt-1),com.microsoft.teams,community,NULL
view work week,NULL,key(super-alt-2),com.microsoft.teams,community,NULL
view week,NULL,key(super-alt-3),com.microsoft.teams,community,NULL
(save | send) meeting request,NULL,key(super-s),com.microsoft.teams,community,NULL
join [from] meeting [details],NULL,key(alt-shift-j),com.microsoft.teams,community,NULL
go to suggested time,NULL,key(alt-shift-s),com.microsoft.teams,community,NULL
(raise | lower) hand,NULL,key(super-shift-k),com.microsoft.teams,community,NULL
leave team meeting,NULL,key(super-shift-h),com.microsoft.teams,community,NULL
shell yank,NULL,"key(""y"")",termite,community,NULL
shell select,NULL,"key(""ctrl-shift-space"")",termite,community,NULL
shell insert,NULL,"key(""escape"")",termite,community,NULL
visual line,NULL,"key(""v"")",termite,community,NULL
visual line mode,NULL,"key(""V"")",termite,community,NULL
terraform,NULL,"""terraform """,global,community,NULL
terraform apply,NULL,"""terraform apply """,global,community,NULL
terraform destroy,NULL,"""terraform destroy """,global,community,NULL
terraform format recursive,NULL,"""terraform fmt -recursive\n""",global,community,NULL
terraform format,NULL,"""terraform fmt\n""",global,community,NULL
terraform help,NULL,"""terraform -help""",global,community,NULL
terraform init upgrade,NULL,"""terraform init -upgrade\n""",global,community,NULL
terraform init,NULL,"""terraform init\n""",global,community,NULL
terraform plan,NULL,"""terraform plan\n""",global,community,NULL
terraform state move,NULL,"""terraform state mv """,global,community,NULL
terraform validate,NULL,"""terraform validate\n""",global,community,NULL
go (mails | messages | inbox),NULL,user.tab_jump(1),thunderbird,community,NULL
go (calendar | lightning),NULL,"user.thunderbird_mod(""shift-c"")",thunderbird,community,NULL
go tasks,NULL,"user.thunderbird_mod(""shift-d"")",thunderbird,community,NULL
(open address [book] | address book | open contacts),NULL,"user.thunderbird_mod(""shift-b"")",thunderbird,community,NULL
dev tools,NULL,"user.thunderbird_mod(""shift-i"")",thunderbird,community,NULL
event new,NULL,"user.thunderbird_mod(""i"")",thunderbird_calendar,community,NULL
task new,NULL,"user.thunderbird_mod(""d"")",thunderbird_calendar,community,NULL
(task | event) delete,NULL,key(delete),thunderbird_calendar,community,NULL
toggle today,NULL,key(f11),thunderbird_calendar,community,NULL
view <number_small>,NULL,user.thunderbird_calendar_view(number_small),thunderbird_calendar,community,NULL
view day,NULL,user.thunderbird_calendar_view(1),thunderbird_calendar,community,NULL
view week,NULL,user.thunderbird_calendar_view(2),thunderbird_calendar,community,NULL
view multi [week],NULL,user.thunderbird_calendar_view(3),thunderbird_calendar,community,NULL
view month,NULL,user.thunderbird_calendar_view(4),thunderbird_calendar,community,NULL
(draft | mail | message) save,NULL,"user.thunderbird_mod(""s"")",thunderbird_composer,community,NULL
(draft | mail | message) print,NULL,"user.thunderbird_mod(""p"")",thunderbird_composer,community,NULL
(draft | mail | message) send,NULL,"user.thunderbird_mod(""enter"")",thunderbird_composer,community,NULL
toggle contacts,NULL,key(f9),thunderbird_composer,community,NULL
go (inbox | thunderbird | main),NULL,"user.thunderbird_mod(""1"")",thunderbird_composer,community,NULL
cite paste,NULL,"user.thunderbird_mod(""shift-o"")",thunderbird_composer,community,NULL
(unformatted | raw) paste,NULL,"user.thunderbird_mod(""shift-v"")",thunderbird_composer,community,NULL
link new,NULL,"user.thunderbird_mod(""k"")",thunderbird_composer,community,NULL
link delete,NULL,"user.thunderbird_mod(""shift-k"")",thunderbird_composer,community,NULL
contact new,NULL,"user.thunderbird_mod(""n"")",thunderbird_contacts,community,NULL
contact edit,NULL,"user.thunderbird_mod(""i"")",thunderbird_contacts,community,NULL
contact delete,NULL,key(delete),thunderbird_contacts,community,NULL
contact print,NULL,"user.thunderbird_mod(""p"")",thunderbird_contacts,community,NULL
contact message,NULL,"user.thunderbird_mod(""m"")",thunderbird_contacts,community,NULL
contact up,NULL,key(up),thunderbird_contacts,community,NULL
contact down,NULL,key(down),thunderbird_contacts,community,NULL
(mail | message) open,NULL,key(enter),thunderbird_inbox,community,NULL
(mail | message) (up | last),NULL,key(b),thunderbird_inbox,community,NULL
(mail | message) (down | next),NULL,key(f),thunderbird_inbox,community,NULL
unread [mail | message] (up | last),NULL,key(p),thunderbird_inbox,community,NULL
unread [mail | message] (down | next),NULL,key(n),thunderbird_inbox,community,NULL
go home,NULL,key(alt-home),thunderbird_inbox,community,NULL
toggle (mail | message) [pane],NULL,key(f8),thunderbird_inbox,community,NULL
(mail | message) (favorite | unfavorite),NULL,key(s),thunderbird_inbox,community,NULL
(mail | message) (read | unread),NULL,key(m),thunderbird_inbox,community,NULL
(mail | message) (watch | unwatch),NULL,key(w),thunderbird_inbox,community,NULL
(mail | message) (ignore | unignore),NULL,key(k),thunderbird_inbox,community,NULL
(mail | message) suspend,NULL,key(c),thunderbird_inbox,community,NULL
(mail | message) spam,NULL,key(j),thunderbird_inbox,community,NULL
(mail | message) new,NULL,"user.thunderbird_mod(""n"")",thunderbird_inbox,community,NULL
(mail | message) edit,NULL,"user.thunderbird_mod(""e"")",thunderbird_inbox,community,NULL
(mail | message) reply sender,NULL,"user.thunderbird_mod(""r"")",thunderbird_inbox,community,NULL
(mail | message) reply all,NULL,"user.thunderbird_mod(""shift-r"")",thunderbird_inbox,community,NULL
(mail | message) reply list,NULL,"user.thunderbird_mod(""shift-l"")",thunderbird_inbox,community,NULL
(mail | message) forward,NULL,"user.thunderbird_mod(""l"")",thunderbird_inbox,community,NULL
(mail | message) delete,NULL,key(delete),thunderbird_inbox,community,NULL
(mail | message) archive,NULL,key(a),thunderbird_inbox,community,NULL
(mail | message) save,NULL,"user.thunderbird_mod(""s"")",thunderbird_inbox,community,NULL
(mail | message) print,NULL,"user.thunderbird_mod(""p"")",thunderbird_inbox,community,NULL
event new,NULL,"user.thunderbird_mod(""i"")",thunderbird_tasks,community,NULL
task new,NULL,"user.thunderbird_mod(""d"")",thunderbird_tasks,community,NULL
(task | event) delete,NULL,key(delete),thunderbird_tasks,community,NULL
toggle today,NULL,key(f11),thunderbird_tasks,community,NULL
go split <user.arrow_key>,NULL,user.tmux_keybind(arrow_key),tmux,community,NULL
go split,NULL,"user.tmux_execute_command(""display-panes -d 0"")",tmux,community,NULL
mux,NULL,"""tmux """,global,community,NULL
mux new session,NULL,"insert(""tmux new "")",global,community,NULL
mux sessions,NULL,"
key(ctrl-b)
key(s)",global,community,NULL
mux name session,NULL,"
key(ctrl-b)
key($)",global,community,NULL
mux kill session,NULL,"insert(""tmux kill-session -t "")",global,community,NULL
mux new window,NULL,"
key(ctrl-b)
key(c)",global,community,NULL
mux window <number>,NULL,"
key(ctrl-b)
key('{number}')",global,community,NULL
mux previous window,NULL,"
key(ctrl-b)
key(p)",global,community,NULL
mux next window,NULL,"
key(ctrl-b)
key(n)",global,community,NULL
mux rename window,NULL,"
key(ctrl-b)
key(,)",global,community,NULL
mux close window,NULL,"
key(ctrl-b)
key(&)",global,community,NULL
mux split horizontal,NULL,"
key(ctrl-b)
key(%)",global,community,NULL
mux split vertical,NULL,"
key(ctrl-b)
key("")",global,community,NULL
mux next pane,NULL,"
key(ctrl-b)
key(o)",global,community,NULL
mux move <user.arrow_key>,NULL,"
key(ctrl-b)
key(arrow_key)",global,community,NULL
mux close pane,NULL,"
key(ctrl-b)
key(x)",global,community,NULL
mux pane numbers,NULL,"
key(ctrl-b)
key(q)",global,community,NULL
(show shortcuts | shortcuts help),NULL,key(?),global,community,NULL
next tweet,NULL,key(j),global,community,NULL
previous tweet,NULL,key(k),global,community,NULL
page down,NULL,key(space),global,community,NULL
load new tweet,NULL,key(.),global,community,NULL
go home,NULL,"insert(""gh"")",global,community,NULL
go explore,NULL,"insert(""ge"")",global,community,NULL
go notifications,NULL,"insert(""gn"")",global,community,NULL
go mentions,NULL,"insert(""gr"")",global,community,NULL
go profile,NULL,"insert(""gp"")",global,community,NULL
go likes,NULL,"insert(""gl"")",global,community,NULL
go lists,NULL,"insert(""gi"")",global,community,NULL
go direct messages,NULL,"insert(""gm"")",global,community,NULL
go settings,NULL,"insert(""gs"")",global,community,NULL
go book marks,NULL,"insert(""gb"")",global,community,NULL
go to user,NULL,"insert(""gu"")",global,community,NULL
display settings,NULL,"insert(""gd"")",global,community,NULL
new tweet,NULL,key(n),global,community,NULL
send tweet,NULL,key(ctrl-enter),global,community,NULL
new direct message,NULL,key(m),global,community,NULL
search,NULL,key(/),global,community,NULL
like message,NULL,key(l),global,community,NULL
reply message,NULL,key(r),global,community,NULL
re tweet [message],NULL,key(t),global,community,NULL
share tweet,NULL,key(s),global,community,NULL
bookmark,NULL,key(b),global,community,NULL
mute account,NULL,key(urge),global,community,NULL
block account,NULL,key(x),global,community,NULL
open details,NULL,key(enter),global,community,NULL
expand photo,NULL,key(o),global,community,NULL
panel solution,NULL,key(ctrl-alt-l),visual_studio,community,NULL
panel properties,NULL,key(f4),visual_studio,community,NULL
panel output,NULL,key(ctrl-alt-o),visual_studio,community,NULL
panel class,NULL,key(ctrl-shift-c),visual_studio,community,NULL
panel errors,NULL,key(ctrl-\ ctrl-e),visual_studio,community,NULL
panel design,NULL,key(shift-f7),visual_studio,community,NULL
panel marks,NULL,key(ctrl-k ctrl-w),visual_studio,community,NULL
panel breakpoints,NULL,key(ctrl-alt-b),visual_studio,community,NULL
show settings,NULL,key(alt-t o),visual_studio,community,NULL
fullscreen switch,NULL,key(shift-alt-enter),visual_studio,community,NULL
wrap switch,NULL,key(ctrl-e ctrl-w),visual_studio,community,NULL
file hunt [<user.text>],NULL,"
key(ctrl-shift-t)
insert(text or """")",visual_studio,community,NULL
file create,NULL,key(ctrl-n),visual_studio,community,NULL
file rename,NULL,key(ctrl-[ s f2),visual_studio,community,NULL
file reveal,NULL,key(ctrl-[ s),visual_studio,community,NULL
hint show,NULL,key(ctrl-shift-space),visual_studio,community,NULL
definition show,NULL,key(f12),visual_studio,community,NULL
definition peek,NULL,key(alt-f12),visual_studio,community,NULL
